PARTICIPANT	SESSION_TIMESTAMP	TRIAL_N	CURRENT_TRIAL	TRIAL_TYPE	TRIAL_START_TIME	FIXATION_ONSET_TIME	STIM_ONSET_TIME	MASK_ONSET_TIME	RESPONSE_GIVEN_TIME	RT_REL_STIM_ONSET	RT_REL_MASK_ONSET	ACCURACY	TIMEOUT
S01	2021-01-13 18:19:51	108	NG	NON_BLINK	1610562175.400752	1610562175.4077513	1610562175.8657517	1610562176.0747526	1610562177.1247516	1.2589998245239258	1.0499989986419678	1	1
S01	2021-01-13 18:19:51	109	G	NON_BLINK	1610562177.1247516	1610562177.1317518	1610562177.5417514	1610562177.750752	1610562177.9337509	0.3919994831085205	0.1829988956451416	1	0
S01	2021-01-13 18:19:51	110	G	BLINK	1610562177.9337509	1610562179.9507496	1610562180.4607484	1610562180.6697495	1610562180.9037473	0.44299888610839844	0.23399782180786133	1	0
S01	2021-01-13 18:19:51	111	G	NON_BLINK	1610562180.9037473	1610562180.9107497	1610562181.3197482	1610562181.5287483	1610562181.7807474	0.4609992504119873	0.2519991397857666	1	0
S01	2021-01-13 18:19:51	112	G	NON_BLINK	1610562181.781747	1610562181.7887475	1610562182.2467482	1610562182.455746	1610562182.8097463	0.5629980564117432	0.3540003299713135	1	0
S01	2021-01-13 18:19:51	113	G	NON_BLINK	1610562182.8097463	1610562182.8177466	1610562183.3277452	1610562183.5367467	1610562183.7827458	0.455000638961792	0.24599909782409668	1	0
S01	2021-01-13 18:19:51	114	NG	NON_BLINK	1610562183.7827458	1610562183.790746	1610562184.2497458	1610562184.457746	1610562185.507745	1.2579991817474365	1.0499989986419678	1	1
S01	2021-01-13 18:19:51	115	G	BLINK	1610562185.5087442	1610562187.5247426	1610562187.9357433	1610562188.1447425	1610562188.3477428	0.4119994640350342	0.20300030708312988	1	0
S01	2021-01-13 18:19:51	116	G	NON_BLINK	1610562188.3487427	1610562188.3557422	1610562188.8147438	1610562189.0237422	1610562189.2867444	0.4720005989074707	0.2630021572113037	1	0
S01	2021-01-13 18:19:51	117	G	NON_BLINK	1610562189.2867444	1610562189.2967422	1610562189.7547414	1610562189.9637403	1610562190.2447402	0.48999881744384766	0.28099989891052246	1	0
S01	2021-01-13 18:19:51	118	G	NON_BLINK	1610562190.2447402	1610562190.25274	1610562190.8617408	1610562191.0697403	1610562191.2177393	0.35599851608276367	0.14799904823303223	1	0
