Unnamed: 0,Trial,T1,T2,Lag,PosT1,PosT2,Respuesta T1,Respuesta T2,Correcto T1,Correcto T2,Reaction Time T1,Reaction Time T2,condition,group
39,40,8,7,4,9,3,8,8,1,0,8.659828900010325,1.6923461999977008,a,psilo
40,41,3,2,6,6,1,3,2,1,1,0.8844447999726981,0.3616672999924049,a,psilo
41,42,3,5,7,9,1,3,5,1,1,1.1058882999932391,0.5280500999651849,a,psilo
42,43,5,2,4,6,3,5,2,1,1,1.408401499968022,0.3720095000462606,a,psilo
43,44,8,9,1,6,3,8,9,1,1,0.9974457001080737,0.2202251000562682,a,psilo
44,45,6,5,4,6,3,6,5,1,1,0.8902545999735594,0.2677599999587983,a,psilo
45,46,9,5,2,6,1,9,2,1,0,1.7579252000432462,13.032655599992722,a,psilo
46,47,3,7,3,9,1,3,7,1,1,1.803666100022383,0.3499764000298455,a,psilo
47,48,3,2,6,6,3,3,2,1,1,0.9503742000088096,0.2399249000009149,a,psilo
48,49,6,3,4,9,1,6,3,1,1,1.2113202000036836,0.3629853000165894,a,psilo
49,50,9,8,5,6,3,9,8,1,1,0.8995534999994561,0.2177144000306725,a,psilo
50,51,8,9,6,9,3,8,9,1,1,0.7618658998981118,0.2251701999921351,a,psilo
51,52,8,5,2,6,3,8,5,1,1,1.0353353000245988,0.4688624000409618,a,psilo
52,53,6,9,4,6,1,6,9,1,1,1.337961700046435,0.5699404999613762,a,psilo
53,54,3,5,7,6,3,3,5,1,1,1.2445311000337824,0.2809943000320345,a,psilo
54,55,8,4,4,9,1,8,4,1,1,1.635016999905929,0.4799333000555634,a,psilo
55,56,6,3,4,9,1,6,8,1,0,1.8765933000249788,0.3637408000649884,a,psilo
56,57,5,2,4,6,1,5,2,1,1,1.853372500045225,0.8336680999491364,a,psilo
57,58,3,8,2,6,3,3,8,1,1,0.939954600064084,0.373718100017868,a,psilo
58,59,9,4,3,9,3,9,4,1,1,0.7591015000361949,0.5243163000559434,a,psilo
59,60,4,5,1,9,3,4,5,1,1,1.0905704000033438,0.2162431000033393,a,psilo
60,61,3,7,5,6,1,3,7,1,1,1.5065162000246346,0.2985176999354735,a,psilo
61,62,4,2,4,9,1,4,2,1,1,1.0977727000135928,0.2429568999214097,a,psilo
62,63,7,5,7,9,3,7,3,1,0,2.928237700019963,0.6184676000848413,a,psilo
63,64,7,2,4,9,1,7,2,1,1,0.8977238000370562,0.3367133000865578,a,psilo
64,65,3,4,7,9,3,3,4,1,1,1.0269006999442354,0.2231688000028953,a,psilo
65,66,9,8,5,9,3,9,8,1,1,0.7626149000134319,0.204329099971801,a,psilo
66,67,7,9,5,9,3,7,9,1,1,1.067619699984789,0.2982387000229209,a,psilo
67,68,4,7,5,6,1,4,7,1,1,1.7791213999735191,0.6610313999699429,a,psilo
68,69,4,5,7,9,3,4,5,1,1,1.2195302000036463,0.2882517999969423,a,psilo
69,70,4,8,6,9,1,4,8,1,1,1.030300399987027,0.6723781999899074,a,psilo
70,71,6,4,4,6,3,6,4,1,1,2.666680699912831,0.8458865999709815,a,psilo
71,72,5,7,3,6,1,5,7,1,1,1.284705900005065,0.3527988999849185,a,psilo
72,73,3,4,4,9,1,3,4,1,1,0.9701071999734268,0.233977900003083,a,psilo
73,74,8,6,1,9,1,8,6,1,1,1.0659147000405935,0.6136879000114277,a,psilo
74,75,5,4,5,6,3,5,4,1,1,0.83358680002857,0.2024170000804588,a,psilo
75,76,9,4,1,6,3,9,6,1,0,1.0707038000691682,0.7017646000022069,a,psilo
76,77,6,4,7,6,1,6,4,1,1,1.0166556999320164,0.3206824000226334,a,psilo
77,78,9,7,7,6,3,9,7,1,1,0.977693900000304,0.3098147000418976,a,psilo
78,79,6,8,5,6,3,6,8,1,1,0.9271896000718698,0.3651718999026343,a,psilo
79,80,9,3,4,6,1,9,3,1,1,0.906109799980186,0.5385446000145748,a,psilo
80,81,4,7,3,9,1,4,7,1,1,1.239105899934657,0.5434882999397814,a,psilo
81,82,2,8,3,9,1,2,8,1,1,1.4820657999953255,0.4361536999931559,a,psilo
82,83,8,2,1,6,3,8,2,1,1,0.8407865000190213,0.2798370999516919,a,psilo
83,84,8,2,2,6,1,8,2,1,1,0.8223959000315517,0.2517935000360012,a,psilo
84,85,3,9,4,9,1,3,4,1,0,1.1621531000128016,0.8390311000403017,a,psilo
85,86,2,8,3,6,3,2,8,1,1,1.6832245000405237,0.3172938999487087,a,psilo
86,87,2,8,7,9,3,2,8,1,1,0.6334230001084507,0.3520085000200197,a,psilo
87,88,4,2,5,6,1,4,3,1,0,2.092115100007504,0.2883189000422135,a,psilo
88,89,4,3,6,9,3,4,3,1,1,1.0100532000651583,0.2640593000687659,a,psilo
89,90,4,6,5,9,3,4,6,1,1,1.078341900021769,0.6235378999263048,a,psilo
90,91,3,5,3,9,3,3,5,1,1,0.8467627000063658,0.4662745000096038,a,psilo
91,92,9,8,6,9,1,9,8,1,1,1.2524053000379354,0.2445533999707549,a,psilo
92,93,3,8,1,6,1,8,7,0,0,1.4655525999842212,0.6182921000290662,a,psilo
93,94,4,3,2,9,3,4,3,1,1,1.1124710000585765,0.2499822999816388,a,psilo
94,95,4,6,2,6,1,4,6,1,1,1.1492949000094086,0.863430899917148,a,psilo
95,96,3,4,2,6,1,3,4,1,1,0.8880517000798136,0.3205057999584824,a,psilo
96,97,7,6,4,6,1,7,6,1,1,1.195013799937442,0.2101863999851048,a,psilo
97,98,4,6,5,6,1,4,6,1,1,1.2204168000025677,0.5172039000317454,a,psilo
98,99,7,9,5,9,1,7,9,1,1,1.0548289999132976,0.4641156999859959,a,psilo
99,100,7,4,1,9,3,7,4,1,1,1.2129464999306947,0.3988445000723004,a,psilo
100,101,6,9,2,9,1,6,9,1,1,1.2965843999991191,0.4969750000163913,a,psilo
101,102,3,8,7,6,1,3,8,1,1,0.8456105999648571,0.3805002000881359,a,psilo
102,103,7,2,6,9,1,7,2,1,1,1.5623106999555605,0.3062503000255674,a,psilo
103,104,8,4,4,9,1,8,2,1,0,1.6568134999834,0.3988018999807536,a,psilo
104,105,7,8,3,6,1,7,8,1,1,1.335805199923925,0.2079241999890655,a,psilo
105,106,7,5,1,6,3,7,5,1,1,0.8467075999360532,0.3179852000903338,a,psilo
106,107,4,3,7,9,3,4,3,1,1,0.9924125999677926,0.6502542999805883,a,psilo
107,108,2,7,1,6,1,2,7,1,1,1.045253099990077,0.4532858000602573,a,psilo
108,109,6,8,2,9,1,6,8,1,1,1.576957399956882,0.4632475000107661,a,psilo
109,110,3,4,2,6,3,3,4,1,1,0.7369776000268757,0.2757677999325096,a,psilo
110,111,5,4,3,9,3,5,4,1,1,1.1670774000231177,0.2311408000532537,a,psilo
111,112,8,9,2,6,3,8,9,1,1,0.7610953999683261,0.1911481000715866,a,psilo
112,113,6,8,2,6,3,6,8,1,1,1.6384514999808744,1.2891849000006914,a,psilo
113,114,4,6,6,9,1,4,6,1,1,1.2305978999938816,0.2270335999783128,a,psilo
114,115,3,4,4,6,3,3,4,1,1,0.6125448000384495,0.195332600036636,a,psilo
115,116,5,8,4,9,1,5,8,1,1,1.1995694999350237,0.3267141999676823,a,psilo
116,117,4,2,1,9,3,4,2,1,1,1.4117007999448106,0.2129212999716401,a,psilo
117,118,3,4,5,9,1,3,4,1,1,0.901270099915564,0.2892319000093266,a,psilo
118,119,3,6,2,6,3,3,6,1,1,0.7215497000142932,0.6016679999884218,a,psilo
119,120,7,6,6,9,3,7,6,1,1,1.0376167999347672,0.2182025000220164,a,psilo
120,121,7,5,6,6,1,7,5,1,1,5.242188600008376,0.1367041000630706,a,psilo
121,122,5,7,6,9,1,5,7,1,1,1.1136999999871475,0.3926646000472829,a,psilo
122,123,2,4,1,6,1,2,3,1,0,1.3350449999561531,0.2250315999845042,a,psilo
123,124,9,2,1,9,3,2,9,0,0,2.0915807000128552,0.1743569000391289,a,psilo
124,125,4,3,1,9,3,4,3,1,1,0.9669629000127316,0.2074970001121983,a,psilo
125,126,5,3,6,6,3,5,3,1,1,0.6773182000033557,0.2413519999245181,a,psilo
126,127,5,9,2,9,3,5,9,1,1,1.4113535999786109,0.2801273999502882,a,psilo
127,128,6,2,3,9,3,6,2,1,1,1.0874491001013666,0.3404147999826818,a,psilo
128,129,7,3,1,9,3,7,3,1,1,1.2599696000106633,0.3410100000910461,a,psilo
129,130,6,3,6,9,3,6,3,1,1,0.891287799924612,0.2510458999313414,a,psilo
130,131,6,9,2,6,1,6,8,1,0,2.3272069999948144,0.6634667000034824,a,psilo
