Unnamed: 0,Trial,T1,T2,Lag,PosT1,PosT2,Respuesta T1,Respuesta T2,Correcto T1,Correcto T2,Reaction Time T1,Reaction Time T2,condition,group
45,46,8,2,6,6,3,8,2,1,1,1.6960978999268264,0.8908147998154163,b,placebo
46,47,7,8,5,6,3,7,8,1,1,0.8777521001175046,0.603663899935782,b,placebo
47,48,7,8,1,6,1,7,8,1,1,1.161886400077492,0.523827200056985,b,placebo
48,49,5,9,7,9,1,5,9,1,1,1.1123444000259042,0.8510704999789596,b,placebo
49,50,4,9,2,6,3,4,9,1,1,1.3768123998306692,0.5395926998462528,b,placebo
50,51,8,9,4,9,1,8,9,1,1,1.144217099994421,0.5548944999463856,b,placebo
51,52,9,2,4,9,1,9,2,1,1,1.3984613998327404,0.9160776999779046,b,placebo
52,53,9,7,6,9,1,9,7,1,1,1.5433567999862134,0.8158122000750154,b,placebo
53,54,9,2,3,9,1,9,2,1,1,1.4476658999919891,0.9054123000241816,b,placebo
54,55,4,8,7,9,3,4,8,1,1,1.4902514999266714,0.4740277999080717,b,placebo
55,56,8,3,1,9,1,8,3,1,1,1.4989142001140865,0.618971599964425,b,placebo
56,57,3,9,6,6,3,3,9,1,1,0.9395630999933928,0.5859429000411183,b,placebo
57,58,5,3,6,6,1,5,3,1,1,1.138315999880433,0.4292115999851376,b,placebo
58,59,8,2,7,6,1,8,2,1,1,1.945179000031203,0.5747237000614405,b,placebo
59,60,9,8,6,9,1,9,8,1,1,1.1379027001094073,0.2938590000849217,b,placebo
60,61,4,2,1,9,3,4,2,1,1,1.180703999940306,0.3933823001570999,b,placebo
61,62,2,4,1,6,3,2,4,1,1,0.9892497998662292,0.4895808000583201,b,placebo
62,63,5,8,5,6,1,5,8,1,1,1.555998699972406,0.2391777001321315,b,placebo
63,64,6,4,7,6,3,6,4,1,1,1.2765946998260915,0.2584011999424547,b,placebo
64,65,6,7,3,9,3,6,7,1,1,0.8277918000239879,0.273944899905473,b,placebo
65,66,3,5,5,6,1,3,5,1,1,1.320057300152257,0.2187215001322329,b,placebo
66,67,7,8,3,9,1,5,7,0,0,1.288484500022605,0.2129828000906855,b,placebo
67,68,6,4,6,6,1,6,4,1,1,1.493703099898994,0.2484487001784145,b,placebo
68,69,7,9,1,6,3,7,9,1,1,1.6973180000204593,0.3535834001377225,b,placebo
69,70,5,7,1,6,3,5,7,1,1,1.4703959000762552,0.2072848000098019,b,placebo
70,71,8,7,7,9,3,8,7,1,1,0.9827248000074178,0.2433798001147806,b,placebo
71,72,8,9,5,6,3,8,9,1,1,0.8602881000842899,0.2586179999634623,b,placebo
72,73,2,3,4,9,1,2,3,1,1,1.1484632000792772,0.2830991998780519,b,placebo
73,74,7,6,2,9,1,7,6,1,1,1.1319774999283254,0.4653693998698145,b,placebo
74,75,6,9,3,6,1,6,9,1,1,1.611072100000456,0.4323760999832302,b,placebo
75,76,6,3,5,9,3,6,3,1,1,0.9844287000596524,0.2993898000568151,b,placebo
76,77,7,3,1,6,3,3,7,0,0,1.982078300090507,0.1878086999058723,b,placebo
77,78,9,8,3,9,1,9,8,1,1,0.9367390999104828,0.254777500173077,b,placebo
78,79,6,8,4,6,1,6,8,1,1,1.3383356998674572,0.2569246999919414,b,placebo
79,80,9,3,2,6,3,9,3,1,1,1.0323330000974238,1.5776384000200778,b,placebo
80,81,9,8,3,6,1,9,8,1,1,0.8914606000762433,0.2388339999597519,b,placebo
81,82,7,8,5,9,3,7,8,1,1,0.7457326001022011,0.2827258999459445,b,placebo
82,83,8,6,6,9,3,8,6,1,1,0.9061205999460072,2.476398600032553,b,placebo
83,84,7,3,2,6,3,7,3,1,1,1.0522121000103652,0.4541982000228017,b,placebo
84,85,4,9,5,9,3,4,9,1,1,0.8974952998105437,0.2691566001158207,b,placebo
85,86,8,3,6,6,1,8,3,1,1,1.213925200048834,0.5594053000677377,b,placebo
86,87,9,5,3,6,3,9,5,1,1,0.8467188000213355,0.3935949001461267,b,placebo
87,88,5,6,6,9,3,5,6,1,1,1.2507740000728518,0.3289056001231074,b,placebo
88,89,5,4,7,9,1,5,4,1,1,1.119813800090924,0.3162181000225246,b,placebo
